filename, row, columns, label
313_dive8_2014-09-29, 795, 1104, Bare-subst.
313_dive8_2014-09-29, 795, 1284, Bare-subst.
313_dive8_2014-09-29, 795, 1464, Bare-subst.
313_dive8_2014-09-29, 795, 1645, Bare-subst.
313_dive8_2014-09-29, 795, 1825, Bare-subst.
313_dive8_2014-09-29, 795, 2005, Bare-subst.
313_dive8_2014-09-29, 795, 2186, Bare-subst.
313_dive8_2014-09-29, 795, 2366, Bare-subst.
313_dive8_2014-09-29, 795, 2546, Bare-subst.
313_dive8_2014-09-29, 795, 2727, Bare-subst.
313_dive8_2014-09-29, 795, 2907, Bare-subst.
313_dive8_2014-09-29, 795, 3087, Bare-subst.
313_dive8_2014-09-29, 795, 3267, Faviidae
313_dive8_2014-09-29, 795, 3448, Bare-subst.
313_dive8_2014-09-29, 795, 3628, Bare-subst.
313_dive8_2014-09-29, 795, 3808, Bare-subst.
313_dive8_2014-09-29, 795, 3989, Bare-subst.
313_dive8_2014-09-29, 795, 4169, Bare-subst.
313_dive8_2014-09-29, 795, 4349, Bare-subst.
313_dive8_2014-09-29, 795, 4530, Bare-subst.
313_dive8_2014-09-29, 1035, 1104, Bare-subst.
313_dive8_2014-09-29, 1035, 1284, Bare-subst.
313_dive8_2014-09-29, 1035, 1464, Faviidae
313_dive8_2014-09-29, 1035, 1645, Faviidae
313_dive8_2014-09-29, 1035, 1825, Faviidae
313_dive8_2014-09-29, 1035, 2005, Bare-subst.
313_dive8_2014-09-29, 1035, 2186, Bare-subst.
313_dive8_2014-09-29, 1035, 2366, Bare-subst.
313_dive8_2014-09-29, 1035, 2546, Bare-subst.
313_dive8_2014-09-29, 1035, 2727, Bare-subst.
313_dive8_2014-09-29, 1035, 2907, Bare-subst.
313_dive8_2014-09-29, 1035, 3087, Bare-subst.
313_dive8_2014-09-29, 1035, 3267, Bare-subst.
313_dive8_2014-09-29, 1035, 3448, Bare-subst.
313_dive8_2014-09-29, 1035, 3628, Bare-subst.
313_dive8_2014-09-29, 1035, 3808, Bare-subst.
313_dive8_2014-09-29, 1035, 3989, Bare-subst.
313_dive8_2014-09-29, 1035, 4169, Bare-subst.
313_dive8_2014-09-29, 1035, 4349, Bare-subst.
313_dive8_2014-09-29, 1035, 4530, Bare-subst.
313_dive8_2014-09-29, 1275, 1104, Bare-subst.
313_dive8_2014-09-29, 1275, 1284, Bare-subst.
313_dive8_2014-09-29, 1275, 1464, Faviidae
313_dive8_2014-09-29, 1275, 1645, Faviidae
313_dive8_2014-09-29, 1275, 1825, Faviidae
313_dive8_2014-09-29, 1275, 2005, Faviidae
313_dive8_2014-09-29, 1275, 2186, Platygyra
313_dive8_2014-09-29, 1275, 2366, Bare-subst.
313_dive8_2014-09-29, 1275, 2546, Acropora
313_dive8_2014-09-29, 1275, 2727, Acropora
313_dive8_2014-09-29, 1275, 2907, Bare-subst.
313_dive8_2014-09-29, 1275, 3087, Bare-subst.
313_dive8_2014-09-29, 1275, 3267, Bare-subst.
313_dive8_2014-09-29, 1275, 3448, Bare-subst.
313_dive8_2014-09-29, 1275, 3628, Bare-subst.
313_dive8_2014-09-29, 1275, 3808, Bare-subst.
313_dive8_2014-09-29, 1275, 3989, Faviidae
313_dive8_2014-09-29, 1275, 4169, Faviidae
313_dive8_2014-09-29, 1275, 4349, Bare-subst.
313_dive8_2014-09-29, 1275, 4530, Bare-subst.
313_dive8_2014-09-29, 1516, 1104, Bare-subst.
313_dive8_2014-09-29, 1516, 1284, Unknown
313_dive8_2014-09-29, 1516, 1464, Faviidae
313_dive8_2014-09-29, 1516, 1645, Faviidae
313_dive8_2014-09-29, 1516, 1825, Faviidae
313_dive8_2014-09-29, 1516, 2005, Faviidae
313_dive8_2014-09-29, 1516, 2186, Unknown
313_dive8_2014-09-29, 1516, 2366, Acropora
313_dive8_2014-09-29, 1516, 2546, Acropora
313_dive8_2014-09-29, 1516, 2727, Acropora
